,0
2017-01-01,9205.2
2017-04-01,9335.6
2017-07-01,9424.2
2017-10-01,9588.5
2018-01-01,9683.0
2018-04-01,10061.9
2018-07-01,10179.3
2018-10-01,10285.2
2019-01-01,10500.1
2019-04-01,10620.9
2019-07-01,10818.4
2019-10-01,10868.4
2020-01-01,11615.0
2020-04-01,12083.1
2020-07-01,11972.7
2020-10-01,11904.7
2021-01-01,12033.6
2021-04-01,12289.4
2021-07-01,12454.5
2021-10-01,12636.2
2022-01-01,12987.3
2022-04-01,13237.6
2022-07-01,13366.9
2022-10-01,13439.3
2023-01-01,13606.5
2023-04-01,13675.9
2023-07-01,13720.4
2023-10-01,13636.9
