,0
2017-01-05,4.2
2017-01-12,4.12
2017-01-19,4.09
2017-01-26,4.19
2017-02-02,4.19
2017-02-09,4.17
2017-02-16,4.15
2017-02-23,4.16
2017-03-02,4.1
2017-03-09,4.21
2017-03-16,4.3
2017-03-23,4.23
2017-03-30,4.14
2017-04-06,4.1
2017-04-13,4.08
2017-04-20,3.97
2017-04-27,4.03
2017-05-04,4.02
2017-05-11,4.05
2017-05-18,4.02
2017-05-25,3.95
2017-06-01,3.94
2017-06-08,3.89
2017-06-15,3.91
2017-06-22,3.9
2017-06-29,3.88
2017-07-06,3.96
2017-07-13,4.03
2017-07-20,3.96
2017-07-27,3.92
2017-08-03,3.93
2017-08-10,3.9
2017-08-17,3.89
2017-08-24,3.86
2017-08-31,3.82
2017-09-07,3.78
2017-09-14,3.78
2017-09-21,3.83
2017-09-28,3.83
2017-10-05,3.85
2017-10-12,3.91
2017-10-19,3.88
2017-10-26,3.94
2017-11-02,3.94
2017-11-09,3.9
2017-11-16,3.95
2017-11-22,3.92
2017-11-30,3.9
2017-12-07,3.94
2017-12-14,3.93
2017-12-21,3.94
2017-12-28,3.99
2018-01-04,3.95
2018-01-11,3.99
2018-01-18,4.04
2018-01-25,4.15
2018-02-01,4.22
2018-02-08,4.32
2018-02-15,4.38
2018-02-22,4.4
2018-03-01,4.43
2018-03-08,4.46
2018-03-15,4.44
2018-03-22,4.45
2018-03-29,4.44
2018-04-05,4.4
2018-04-12,4.42
2018-04-19,4.47
2018-04-26,4.58
2018-05-03,4.55
2018-05-10,4.55
2018-05-17,4.61
2018-05-24,4.66
2018-05-31,4.56
2018-06-07,4.54
2018-06-14,4.62
2018-06-21,4.57
2018-06-28,4.55
2018-07-05,4.52
2018-07-12,4.53
2018-07-19,4.52
2018-07-26,4.54
2018-08-02,4.6
2018-08-09,4.59
2018-08-16,4.53
2018-08-23,4.51
2018-08-30,4.52
2018-09-06,4.54
2018-09-13,4.6
2018-09-20,4.65
2018-09-27,4.72
2018-10-04,4.71
2018-10-11,4.9
2018-10-18,4.85
2018-10-25,4.86
2018-11-01,4.83
2018-11-08,4.94
2018-11-15,4.94
2018-11-21,4.81
2018-11-29,4.81
2018-12-06,4.75
2018-12-13,4.63
2018-12-20,4.62
2018-12-27,4.55
2019-01-03,4.51
2019-01-10,4.45
2019-01-17,4.45
2019-01-24,4.45
2019-01-31,4.46
2019-02-07,4.41
2019-02-14,4.37
2019-02-21,4.35
2019-02-28,4.35
2019-03-07,4.41
2019-03-14,4.31
2019-03-21,4.28
2019-03-28,4.06
2019-04-04,4.08
2019-04-11,4.12
2019-04-18,4.17
2019-04-25,4.2
2019-05-02,4.14
2019-05-09,4.1
2019-05-16,4.07
2019-05-23,4.06
2019-05-30,3.99
2019-06-06,3.82
2019-06-13,3.82
2019-06-20,3.84
2019-06-27,3.73
2019-07-03,3.75
2019-07-11,3.75
2019-07-18,3.81
2019-07-25,3.75
2019-08-01,3.75
2019-08-08,3.6
2019-08-15,3.6
2019-08-22,3.55
2019-08-29,3.58
2019-09-05,3.49
2019-09-12,3.56
2019-09-19,3.73
2019-09-26,3.64
2019-10-03,3.65
2019-10-10,3.57
2019-10-17,3.69
2019-10-24,3.75
2019-10-31,3.78
2019-11-07,3.69
2019-11-14,3.75
2019-11-21,3.66
2019-11-27,3.68
2019-12-05,3.68
2019-12-12,3.73
2019-12-19,3.73
2019-12-26,3.74
2020-01-02,3.72
2020-01-09,3.64
2020-01-16,3.65
2020-01-23,3.6
2020-01-30,3.51
2020-02-06,3.45
2020-02-13,3.47
2020-02-20,3.49
2020-02-27,3.45
2020-03-05,3.29
2020-03-12,3.36
2020-03-19,3.65
2020-03-26,3.5
2020-04-02,3.33
2020-04-09,3.33
2020-04-16,3.31
2020-04-23,3.33
2020-04-30,3.23
2020-05-07,3.26
2020-05-14,3.28
2020-05-21,3.24
2020-05-28,3.15
2020-06-04,3.18
2020-06-11,3.21
2020-06-18,3.13
2020-06-25,3.13
2020-07-02,3.07
2020-07-09,3.03
2020-07-16,2.98
2020-07-23,3.01
2020-07-30,2.99
2020-08-06,2.88
2020-08-13,2.96
2020-08-20,2.99
2020-08-27,2.91
2020-09-03,2.93
