,0
2017-01-05,4.2
2017-01-12,4.1
2017-01-19,4.1
2017-01-26,4.2
2017-02-02,4.2
2017-02-09,4.2
2017-02-16,4.2
2017-02-23,4.2
2017-03-02,4.1
2017-03-09,4.2
2017-03-16,4.3
2017-03-23,4.2
2017-03-30,4.1
2017-04-06,4.1
2017-04-13,4.1
2017-04-20,4.0
2017-04-27,4.0
2017-05-04,4.0
2017-05-11,4.0
2017-05-18,4.0
2017-05-25,4.0
2017-06-01,3.9
2017-06-08,3.9
2017-06-15,3.9
2017-06-22,3.9
2017-06-29,3.9
2017-07-06,4.0
2017-07-13,4.0
2017-07-20,4.0
2017-07-27,3.9
2017-08-03,3.9
2017-08-10,3.9
2017-08-17,3.9
2017-08-24,3.9
2017-08-31,3.8
2017-09-07,3.8
2017-09-14,3.8
2017-09-21,3.8
2017-09-28,3.8
2017-10-05,3.8
2017-10-12,3.9
2017-10-19,3.9
2017-10-26,3.9
2017-11-02,3.9
2017-11-09,3.9
2017-11-16,4.0
2017-11-22,3.9
2017-11-30,3.9
2017-12-07,3.9
2017-12-14,3.9
2017-12-21,3.9
2017-12-28,4.0
2018-01-04,4.0
2018-01-11,4.0
2018-01-18,4.0
2018-01-25,4.2
2018-02-01,4.2
2018-02-08,4.3
2018-02-15,4.4
2018-02-22,4.4
2018-03-01,4.4
2018-03-08,4.5
2018-03-15,4.4
2018-03-22,4.4
2018-03-29,4.4
2018-04-05,4.4
2018-04-12,4.4
2018-04-19,4.5
2018-04-26,4.6
2018-05-03,4.6
2018-05-10,4.6
2018-05-17,4.6
2018-05-24,4.7
2018-05-31,4.6
2018-06-07,4.5
2018-06-14,4.6
2018-06-21,4.6
2018-06-28,4.6
2018-07-05,4.5
2018-07-12,4.5
2018-07-19,4.5
2018-07-26,4.5
2018-08-02,4.6
2018-08-09,4.6
2018-08-16,4.5
2018-08-23,4.5
2018-08-30,4.5
2018-09-06,4.5
2018-09-13,4.6
2018-09-20,4.6
2018-09-27,4.7
2018-10-04,4.7
2018-10-11,4.9
2018-10-18,4.8
2018-10-25,4.9
2018-11-01,4.8
2018-11-08,4.9
2018-11-15,4.9
2018-11-21,4.8
2018-11-29,4.8
2018-12-06,4.8
2018-12-13,4.6
2018-12-20,4.6
