Date	Close
2021-01-04	27.0
2021-01-05	25.0
2021-01-06	25.0
2021-01-07	22.0
2021-01-08	22.0
2021-01-11	24.0
2021-01-12	23.0
2021-01-13	22.0
2021-01-14	23.0
2021-01-15	24.0
2021-01-19	23.0
2021-01-20	22.0
2021-01-21	21.0
2021-01-22	22.0
2021-01-25	23.0
2021-01-26	23.0
2021-01-27	37.0
2021-01-28	30.0
2021-01-29	33.0
2021-02-01	30.0
2021-02-02	26.0
2021-02-03	23.0
2021-02-04	22.0
2021-02-05	21.0
2021-02-08	21.0
2021-02-09	22.0
2021-02-10	22.0
2021-02-11	21.0
2021-02-12	20.0
2021-02-16	21.0
2021-02-17	22.0
2021-02-18	22.0
2021-02-19	22.0
2021-02-22	23.0
2021-02-23	23.0
2021-02-24	21.0
2021-02-25	29.0
2021-02-26	28.0
2021-03-01	23.0
2021-03-02	24.0
2021-03-03	27.0
2021-03-04	29.0
2021-03-05	25.0
2021-03-08	25.0
2021-03-09	24.0
2021-03-10	23.0
2021-03-11	22.0
2021-03-12	21.0
2021-03-15	20.0
2021-03-16	20.0
2021-03-17	19.0
2021-03-18	22.0
2021-03-19	21.0
2021-03-22	19.0
2021-03-23	20.0
2021-03-24	21.0
2021-03-25	20.0
2021-03-26	19.0
2021-03-29	21.0
2021-03-30	20.0
2021-03-31	19.0
2021-04-01	17.0
2021-04-05	18.0
2021-04-06	18.0
2021-04-07	17.0
2021-04-08	17.0
2021-04-09	17.0
2021-04-12	17.0
2021-04-13	17.0
2021-04-14	17.0
2021-04-15	17.0
2021-04-16	16.0
2021-04-19	17.0
2021-04-20	19.0
2021-04-21	18.0
2021-04-22	19.0
2021-04-23	17.0
2021-04-26	18.0
2021-04-27	18.0
2021-04-28	17.0
2021-04-29	18.0
2021-04-30	19.0
2021-05-03	18.0
2021-05-04	19.0
2021-05-05	19.0
2021-05-06	18.0
2021-05-07	17.0
2021-05-10	20.0
2021-05-11	22.0
2021-05-12	28.0
2021-05-13	23.0
2021-05-14	19.0
2021-05-17	20.0
2021-05-18	21.0
2021-05-19	22.0
