,0
2019-01-01,18053.9
2019-02-01,18151.4
2019-03-01,18229.5
2019-04-01,18262.1
2019-05-01,18277.0
2019-06-01,18310.5
2019-07-01,18328.6
2019-08-01,18423.6
2019-09-01,18474.4
2019-10-01,18549.5
2019-11-01,18630.7
2019-12-01,18583.8
2020-01-01,18821.5
2020-02-01,18925.6
2020-03-01,18577.4
2020-04-01,20750.9
2020-05-01,19877.2
2020-06-01,19920.9
2020-07-01,20191.5
2020-08-01,19594.2
2020-09-01,19744.9
2020-10-01,19758.5
2020-11-01,19610.4
2020-12-01,19775.2
2021-01-01,21760.9
2021-02-01,20254.0
2021-03-01,24471.8
2021-04-01,21304.2
2021-05-01,20899.7
2021-06-01,20934.3
2021-07-01,21156.5
2021-08-01,21207.3
2021-09-01,21051.2
2021-10-01,21201.4
2021-11-01,21297.7
2021-12-01,21352.9
2022-01-01,21294.8
2022-02-01,21426.2
2022-03-01,21510.5
2022-04-01,21581.3
2022-05-01,21657.1
2022-06-01,21740.7
2022-07-01,21910.5
2022-08-01,22024.3
2022-09-01,22121.5
2022-10-01,22242.2
2022-11-01,22267.7
2022-12-01,22312.3
2023-01-01,22525.3
2023-02-01,22648.4
2023-03-01,22757.9
2023-04-01,22806.1
2023-05-01,22876.6
2023-06-01,22921.4
2023-07-01,22986.4
2023-08-01,23094.5
2023-09-01,23176.2
2023-10-01,23230.9
2023-11-01,23319.7
2023-12-01,23397.0
2024-01-01,23638.9
2024-02-01,23704.0
2024-03-01,23826.0
