,0
2019-01-01,8.2
2019-02-01,8.5
2019-03-01,7.9
2019-04-01,7.7
2019-05-01,7.3
2019-06-01,7.1
2019-07-01,6.8
2019-08-01,7.0
2019-09-01,7.2
2019-10-01,7.3
2019-11-01,7.1
2019-12-01,6.4
2020-01-01,7.2
2020-02-01,7.7
2020-03-01,12.5
2020-04-01,32.0
2020-05-01,22.7
2020-06-01,18.4
2020-07-01,17.9
2020-08-01,14.0
2020-09-01,13.2
2020-10-01,12.8
2020-11-01,12.1
2020-12-01,12.0
2021-01-01,19.3
2021-02-01,12.8
2021-03-01,26.1
2021-04-01,12.3
2021-05-01,9.9
2021-06-01,8.7
2021-07-01,9.4
2021-08-01,8.7
2021-09-01,7.2
2021-10-01,6.6
2021-11-01,6.2
2021-12-01,6.1
2022-01-01,4.1
2022-02-01,4.1
2022-03-01,3.4
2022-04-01,3.1
2022-05-01,3.1
2022-06-01,2.7
2022-07-01,3.5
2022-08-01,3.2
2022-09-01,3.0
2022-10-01,3.0
2022-11-01,3.3
2022-12-01,3.4
2023-01-01,4.4
2023-02-01,4.7
2023-03-01,5.2
2023-04-01,5.2
2023-05-01,5.3
2023-06-01,4.8
2023-07-01,4.2
2023-08-01,4.2
2023-09-01,3.7
2023-10-01,3.8
