,0
2021-01-01,6.4
2021-02-01,6.2
2021-03-01,6.1
2021-04-01,6.1
2021-05-01,5.8
2021-06-01,5.9
2021-07-01,5.4
2021-08-01,5.1
2021-09-01,4.7
2021-10-01,4.5
2021-11-01,4.1
2021-12-01,3.9
2022-01-01,4.0
2022-02-01,3.8
2022-03-01,3.6
2022-04-01,3.7
2022-05-01,3.6
2022-06-01,3.6
2022-07-01,3.5
2022-08-01,3.6
2022-09-01,3.5
2022-10-01,3.6
2022-11-01,3.6
2022-12-01,3.5
2023-01-01,3.4
2023-02-01,3.6
2023-03-01,3.5
2023-04-01,3.4
2023-05-01,3.7
2023-06-01,3.6
2023-07-01,3.5
2023-08-01,3.8
2023-09-01,3.8
2023-10-01,3.8
2023-11-01,3.7
2023-12-01,3.7
2024-01-01,3.7
